URI,a,b,NAME,c
"http://id.loc.gov/vocabulary/iso639-2/fin","","fi","Finnish","finnois"
"http://id.loc.gov/vocabulary/iso639-2/fiu","","","Finno-Ugrian languages","finno-ougriennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/fon","","","Fon","fon"
"http://id.loc.gov/vocabulary/iso639-2/fre","fra","fr","French","français"
"http://id.loc.gov/vocabulary/iso639-2/frm","","","French, Middle (ca.1400-1600)","français moyen (1400-1600)"
"http://id.loc.gov/vocabulary/iso639-2/fro","","","French, Old (842-ca.1400)","français ancien (842-ca.1400)"
"http://id.loc.gov/vocabulary/iso639-2/frr","","","Northern Frisian","frison septentrional"
"http://id.loc.gov/vocabulary/iso639-2/frs","","","Eastern Frisian","frison oriental"
"http://id.loc.gov/vocabulary/iso639-2/fry","","fy","Western Frisian","frison occidental"
"http://id.loc.gov/vocabulary/iso639-2/ful","","ff","Fulah","peul"
"http://id.loc.gov/vocabulary/iso639-2/fur","","","Friulian","frioulan"
"http://id.loc.gov/vocabulary/iso639-2/gaa","","","Ga","ga"
"http://id.loc.gov/vocabulary/iso639-2/gay","","","Gayo","gayo"
"http://id.loc.gov/vocabulary/iso639-2/gba","","","Gbaya","gbaya"
"http://id.loc.gov/vocabulary/iso639-2/gem","","","Germanic languages","germaniques, langues"
"http://id.loc.gov/vocabulary/iso639-2/geo","kat","ka","Georgian","géorgien"
"http://id.loc.gov/vocabulary/iso639-2/ger","deu","de","German","allemand"
"http://id.loc.gov/vocabulary/iso639-2/gez","","","Geez","guèze"
"http://id.loc.gov/vocabulary/iso639-2/gil","","","Gilbertese","kiribati"
"http://id.loc.gov/vocabulary/iso639-2/gla","","gd","Gaelic; Scottish Gaelic","gaélique; gaélique écossais"
"http://id.loc.gov/vocabulary/iso639-2/gle","","ga","Irish","irlandais"
"http://id.loc.gov/vocabulary/iso639-2/glg","","gl","Galician","galicien"
"http://id.loc.gov/vocabulary/iso639-2/glv","","gv","Manx","manx; mannois"
"http://id.loc.gov/vocabulary/iso639-2/gmh","","","German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)"
"http://id.loc.gov/vocabulary/iso639-2/goh","","","German, Old High (ca.750-1050)","allemand, vieux haut (ca. 750-1050)"
"http://id.loc.gov/vocabulary/iso639-2/gon","","","Gondi","gond"
"http://id.loc.gov/vocabulary/iso639-2/gor","","","Gorontalo","gorontalo"
"http://id.loc.gov/vocabulary/iso639-2/got","","","Gothic","gothique"
"http://id.loc.gov/vocabulary/iso639-2/grb","","","Grebo","grebo"
"http://id.loc.gov/vocabulary/iso639-2/grc","","","Greek, Ancient (to 1453)","grec ancien (jusqu'à 1453)"
"http://id.loc.gov/vocabulary/iso639-2/gre","ell","el","Greek, Modern (1453-)","grec moderne (après 1453)"
"http://id.loc.gov/vocabulary/iso639-2/grn","","gn","Guarani","guarani"
"http://id.loc.gov/vocabulary/iso639-2/gsw","","","Swiss German; Alemannic; Alsatian","suisse alémanique; alémanique; alsacien"
"http://id.loc.gov/vocabulary/iso639-2/guj","","gu","Gujarati","goudjrati"
"http://id.loc.gov/vocabulary/iso639-2/gwi","","","Gwich'in","gwich'in"
"http://id.loc.gov/vocabulary/iso639-2/hai","","","Haida","haida"
"http://id.loc.gov/vocabulary/iso639-2/hat","","ht","Haitian; Haitian Creole","haïtien; créole haïtien"
"http://id.loc.gov/vocabulary/iso639-2/hau","","ha","Hausa","haoussa"
"http://id.loc.gov/vocabulary/iso639-2/haw","","","Hawaiian","hawaïen"
"http://id.loc.gov/vocabulary/iso639-2/heb","","he","Hebrew","hébreu"
"http://id.loc.gov/vocabulary/iso639-2/her","","hz","Herero","herero"
"http://id.loc.gov/vocabulary/iso639-2/hil","","","Hiligaynon","hiligaynon"
"http://id.loc.gov/vocabulary/iso639-2/him","","","Himachali languages; Western Pahari languages","langues himachalis; langues paharis occidentales"
"http://id.loc.gov/vocabulary/iso639-2/hin","","hi","Hindi","hindi"
"http://id.loc.gov/vocabulary/iso639-2/hit","","","Hittite","hittite"
"http://id.loc.gov/vocabulary/iso639-2/hmn","","","Hmong","hmong"
"http://id.loc.gov/vocabulary/iso639-2/hmo","","ho","Hiri Motu","hiri motu"
